Episode,Score,Epsilon,Loss
0,23.0,1,
1,10.0,0.9558895783575597,0.6365222334861755
2,15.0,0.8866535105013078,0.636597216129303
3,36.0,0.7402609576967045,0.5117858052253723
4,36.0,0.6180388156137953,0.7409853339195251
5,20.0,0.5590843898207511,0.7684392929077148
6,12.0,0.5264466124450268,1.0823880434036255
7,12.0,0.49571413690105054,1.4773969650268555
8,9.0,0.4738479773082268,0.9672757983207703
9,14.0,0.4417353564707963,1.2839094400405884
10,16.0,0.40769130904675194,1.7683768272399902
11,9.0,0.3897078735047413,4.190685272216797
12,10.0,0.3706551064126331,19.543319702148438
13,11.0,0.3507711574848344,30.27876091003418
14,9.0,0.3352984938281715,4.238758563995361
15,11.0,0.3173112652388396,11.77860164642334
16,11.0,0.30028896908517405,6.163283824920654
17,10.0,0.285607880564032,4.499853610992432
18,14.0,0.2662522686041882,3.0029373168945312
19,10.0,0.2532352299289372,3.5692050457000732
20,14.0,0.23607350863684065,5.150603771209717
21,12.0,0.22229219984074702,4.93742036819458
22,14.0,0.20722748400265262,3.183307409286499
23,12.0,0.19513012515638165,5.279743671417236
24,19.0,0.17740377510930716,3.452960968017578
